code,name,type,tel,email
C0150,ABU WAAD CONSTUCTION,retail,,
C0133,ACTION ELECTRICAL CONTRACTING & DECOR,retail,,
C0080,ADLIYA TOWERS INTERIORS W.L.L,retail,,
C0269,AG B&B W.L.L,retail,,
C0165,AHMADI INDUSTRIES B.S.C CLOSED,retail,,
C0106,AHMED  ALI AL-JALAHMA ESTABLISHMENT,retail,,
C0225,AL ASIF CONSTRUCTION,retail,,
C0135,AL BAYAN AUTO SPARE PARTS,retail,,
C0036,AL DALEEM CONTRACTING,retail,,
C0131,AL DASMA BAKERY,retail,,
C0212,AL DIYAFAH SUPPLIES SERVICES W.L.L,retail,,
C0199,AL GHALIA HOLDINGS BSC (C),retail,,
C0237,AL JASER FACTORY CO .W.L.L,retail,,
C0153,AL JAZEERA SECURITY CO.S.P.C,retail,,
C0202,AL MAZAYA CONASTUCTION CO. W.L.L,retail,,
C0086,AL MOAYYED AIR CONDITIONING W.L.L,retail,,
C0048,AL NABHANI ELECTRICAL CONTRACTING,retail,,
C0211,AL NIBRAS PLACE ELECTRICAL ITEMS,retail,,
C0137,AL RAHMA IRON FABRICATION,retail,,
C0185,AL SAD AL MUSHRIQ BUILDING CONSTRUCTION W.L.L,retail,,
C0035,AL SUQAYYA RESTAURANT,retail,,
C0179,AL ZAMIL GROUP B.S.C ( CLOSED),retail,,
C0234,AL-MAJD TRADING FOR BUILDING MATERIALS  CO W.L.L,retail,,
C0187,ALABRAR CUNSTRUCTION AND CONTRACTING,retail,,
C0003,ALBARAKA EXHIBITION,retail,,
C0196,ALEASTUR ALUMINIUM,retail,,
C0170,ALEBRAH CONTRACTING EST,retail,,
C0209,ALI BIN ABDULLA AL GHATAM GROUP W.L.L,retail,,
C0050,ALMAJARAH GOLDSMITH W.L.L,retail,,
C0175,ALMOAYED GROUP W.L.L,retail,,
C0265,ALSAYEGH ELECTRICAL EQUIPMENTS,retail,,
C0138,ALSEEF GATE GOLDEN CONTRACTING,retail,,
C0213,ALZAYANI FOODS W.L.L,retail,,
C0256,AMERICAN MISSION HOSPITAL,retail,,
C0089,ANSYS IT SOLUTION CO W.L.L,retail,,
C0126,ANWAR AL BAHRAIN PHONES,retail,,
C0082,ANWER AL BAHRAIN PHONES,retail,,
C0208,ARAS CONSTRUCTION,retail,,
C0228,AREEJ DAIRIES,retail,,
C0242,AREEJ MOHAMMAD AHMED QUSAYRI GENERAL CONTRACTING,retail,,
C0268,ASHRAF BYCYCLE STORE W.L.L,retail,,
C0258,ASTER TECH CONSULTANCY W.L.L,retail,,
C0093,ASTRAL TECHNOLOGIES W.L.L,retail,,
C0030,AYOOB TRADING EST.,retail,,
C0115,BAHRAIN GAS W.L.L,retail,,
