sku,name,cost,sell_price,stock
6DO,6D ORANGE,1.500,0.000,1.000
AV2LV,"ANGLE VALVE 3/8X 1/2"" LONG - VIMUX",1.500,0.000,8.000
AFSM,AUTO FUSE-SUPER MINI,0.100,0.000,20.000
TR22110300,AUTO TRANSFORMER 220-110V 300VA SP,32.000,0.000,1.000
BNWM14,BOLT AND NUT WASHER M14,4.500,0.000,2.000
BNWM08,BOLT AND NUT WASHER M8,0.000,0.000,0.000
CGA1A225S,BRASS CABLE GLAND A1-A2 25S,0.000,0.000,0.000
CGA1A232L,BRASS CABLE GLAND A1-A2 32L,1.200,0.000,1.000
CGA1A232S,BRASS CABLE GLAND A1-A2 32S,0.000,0.000,0.000
CGCW20L,BRASS CABLE GLAND CW 20L,0.000,0.000,0.000
CGCW20S,BRASS CABLE GLAND CW 20S,0.000,0.000,0.000
CGCW25L,BRASS CABLE GLAND CW 25L,0.000,0.000,0.000
CGCW25S,BRASS CABLE GLAND CW 25S,0.000,0.000,0.000
CGCW32L,BRASS CABLE GLAND CW 32L,0.000,0.000,0.000
CGCW32S,BRASS CABLE GLAND CW 32S,0.000,0.000,0.000
CGCW40S,BRASS CABLE GLAND CW 40S,0.000,0.000,0.000
CGCW50L,BRASS CABLE GLAND CW 50L,0.000,0.000,0.000
CGCW50S,BRASS CABLE GLAND CW 50S,0.000,0.000,0.000
BWS06020,BRASS WOOD SCREWS 6X20,0.000,0.000,0.000
BWS06025,BRASS WOOD SCREWS 6X25,0.000,0.000,0.000
BWS08063,BRASS WOOD SCREWS 8X63,0.000,0.000,0.000
BWS08075,BRASS WOOD SCREWS 8X75,0.000,0.000,0.000
CFL41600,CABLE FLEXIBLE 4CX16MM,0.000,0.000,0.000
CFL50100,CABLE FLEXIBLE 5CX1.0MM,0.000,0.000,0.000
CFL50250,CABLE FLEXIBLE 5CX2.5MM - 80YDS,43.000,0.000,1.000
CFL52500,CABLE FLEXIBLE 5CX25MM,0.000,0.000,0.000
CLT1200,CABLE JOINT FERRULE 120MM,0.000,0.000,0.000
CLT3000,CABLE JOINT FERRULE 300MM,0.000,0.000,0.000
CLT4000,CABLE JOINT FERRULE 400MM,0.000,0.000,100.000
CL040016,CABLE LUGS M400X16-20,0.000,0.000,0.000
CLP00950,CABLE LUGS PIN TYPE 95MM,0.000,0.000,0.000
PVCSWA2016,CABLE PVC SW ARMOURED 2CX16MM,0.000,0.000,0.000
PVCSWA2025,CABLE PVC SW ARMOURED 2CX25MM,0.000,0.000,0.000
PVCSWA2006,CABLE PVC SW ARMOURED 2CX6.0MM,0.000,0.000,0.000
SKU-6827,CABLE SINGLE CORE 1.5MM - RR (IND),0.000,0.000,10.000
CHP0250-1,CABLE SINGLE CORE H.PROOF 2.5MM - PRC,0.000,0.000,0.000
KB31TVF,CABLE TV SOCKET WITH F CONNECTOR,0.500,0.000,2.000
CTWEF060,CABLE TWE FLAT 6.0MM GREY,0.000,0.000,0.000
CL40B15T,CANDLE LAMP 40W B15 - TUNGSRAM,0.300,0.000,3.000
CSP0817,COMBINATION SPANNER SET 8-17,1.800,0.000,3.000
CCE400,CONTACT CLEANER 400ML - ELECTRICAL,3.000,0.000,3.000
CF012150,"COOLING FAN 12V DC 6"" 150MM",0.000,0.000,0.000
CF012200,"COOLING FAN 12V DC 8"" 200MM",0.000,0.000,0.000
COPCV32,"COPPER CHECK VALVE 1-1/4""",5.200,0.000,1.000
CCB,"COPPER COUPLING BUSH 3/4""",0.000,0.000,0.000
COPE3225,"COPPER ELBOW 1-1/4""X1""",3.000,0.000,1.000
COPFE03,COPPER FEMALE ELBOW 20MM 3W,0.000,0.000,0.000
COPFN020,COPPER FEMALE NIPPLE 1/2 20MM,0.400,0.000,13.000
COPN15F,"COPPER MALE NIPPLE 1/4""",0.400,0.000,5.000
