sku,name,sell_price
6DO,6D ORANGE,0.000
AFSM,AUTO FUSE-SUPER MINI,0.000
SKU-6827,CABLE SINGLE CORE 1.5MM - RR (IND),0.000
CL40B15T,CANDLE LAMP 40W B15 - TUNGSRAM,0.000
ZF8CMS,CEILING MOUNT EX FAN 200MM,4.500
CCE400,CONTACT CLEANER 400ML - ELECTRICAL,0.000
CENC,CONTACT ELELMNT NC,1.200
CENO,CONTACT ELELMNT NO,1.500
COPE020,"COPPER ELBOW 3/4""",1.300
SKU-3427,COPPER REEL,0.100
SKU-3275,DATA SOCKET RJ45 2G -MK,16.500
SKU-3274,DB WP METAL COVER 400X300X200,10.000
DT2,DIGITAL THERMOMETER AND HYGROMETER,7.500
DAPB33SS,DOOR ACCESS PUSH BUTTON 3X3 SS,6.000
DBH12260,DRILL BIT HILTI 12 X 260MM,2.500
EACH-2,EARTH ROD COVER,0.000
LHF13A,FL LAMP HOLDER F13A 2/500 TRS,0.300
SKU-3230,FLOOR DROP BOX 4'',3.000
SKU-3397,GI REALY FOR DB-2MTR,2.500
AH12VF,HORN 12V FLOSSER,0.000
79100,HOT AIR GUN 230V  2000W - TOLSON,9.500
IMH1000W,IMMERSION HEATER 1000W - HANSA,4.500
SKU-3472,IND WALL SOCKET 415V 32A 3P+N+E - IP67,28.000
MS982,LASER TAPE MEASURING 15MTR - MEET,10.000
LEDCE14,LED CANDLE 5W WW E14 - LEON,0.800
SKU-6175,LED LIGHT FITTING SQ BLACK,7.000
SKU-6036,LED PANEL 4F X 30,0.000
MSM3X25,MACHINE SCREW (-) M3 X 25,0.000
MNS014,MAGNETIC NUT SOCKET 14MM,0.600
SKU-3434,MOTOR PENEL,18.000
AW200JMC,P REGULATOR AW2000-02A  JMC,8.000
SKU-3417,PENEL MODIFICATION WORK,0.000
PPHP3/4-1,"PVC PIPE HP 3/4"" x 1MTR",0.250
RCCB404003,RCCB 4P 40A 100MA - SCHNEIDER,0.000
THT39101,SPARE FOR RAPID STAPLER - TOTAL,1.500
S1G1WS/V,SWITCH 1 GANG 1 WAY - SCHNEIDER / PIENO,3.000
SKU-3486,SWITCH 10A 1G 2W-,0.450
SKU-3375,Shipping,0.000
TSC10,TIN SHEET CUTTER / SINP SCISSOR 10,4.000
VT0100,VIKING TERMINAL 10MM,0.400
VT1200,VIKING TERMINAL 120MM,0.000
VT0160,VIKING TERMINAL 16MM,0.500
VT0025,VIKING TERMINAL 2.5MM,0.250
VT0250,VIKING TERMINAL 25MM,0.600
VT0350,VIKING TERMINAL 35MM,0.000
VT0040,VIKING TERMINAL 4.0MM,0.250
VT0500,VIKING TERMINAL 50MM,0.000
VT0060,VIKING TERMINAL 6.0MM,0.350
VT0700,VIKING TERMINAL 70MM,0.000
VTETH,VIKING TERMINAL EARTH,1.000
VTEC,VIKING TERMINAL END CAP,0.150
VTEST,VIKING TERMINAL END STOPPER,0.400
VTFH52,VIKING TERMINAL WITH FUSE HOLDER 5X20,0.800
