similarity_pct,product_a,product_b
100%,LED FITTING W DIFFUCER 2FT 24W - MAX,LED FITTING W DIFFUCER 2FT 24W -MAX
100%,PVC FLEX. PIPE 50MM,PVC FLEX PIPE 50MM
100%,E SAVING LAMP 8W E14 -PHILIPS,E SAVING LAMP 8W E14 - PHILIPS
100%,"POLY PIPE 1""","POLY PIPE  1"""
100%,HAND GLOVES COTTON,HAND  GLOVES COTTON
100%,"FOAM TAPE D/SIDE MOUNT 2""",FOAM TAPE D/SIDE MOUNT -2
99%,CONTROL CABLE  SHIELDED FLEXIBLE 4CX0.75MM - SEECAB,CONTROL CABLE  SHIELDED FLEXIBLE 4CX0.5MM - SEECAB
99%,CABLE FLEXIBLE 2CX0.75MM OVAL BLK (LOOSE),CABLE FLEXIBLE 2CX0.5MM OVAL - BLK  (LOOSE)
99%,CLAMP METER DIGITAL 600A 2007 - KEW SNAP,CLAMP METER DIGITAL 600A 2007R - KEW SNAP
99%,E SAVING LAMP 18W E27 TORNADO - PHILIPS,E SAVING LAMP 8W E27 TORNADO - PHILIPS
99%,CARTRIDGE FUSE 6X25 FOR TOP PLUG 3A,CARTRIDGE FUSE 6X25 FOR TOP PLUG 13A
99%,CARTRIDGE FUSE 6X25 FOR TOP PLUG 5A,CARTRIDGE FUSE 6X25 FOR TOP PLUG 15A
99%,MAGNETIC CONTACTOR 240V 9A - SCHNEIDER,MAGNETIC CONTACTOR 24V 9A - SCHNEIDER
99%,AUTO TRANSFORMER 220-110V 1000VA SP,AUTO TRANSFORMER 220-110V 100VA SP
99%,AUTO TRANSFORMER 220-110V 3000VA SP,AUTO TRANSFORMER 220-110V 300VA SP
99%,AUTO TRANSFORMER 220-110V 5000VA SP,AUTO TRANSFORMER 220-110V 500VA SP
99%,AUTO TRANSFORMER 220-110V 100VA SP,AUTO TRANSFORMER 220-110V 1500VA SP
99%,AUTO TRANSFORMER 220-110V 200VA SP,AUTO TRANSFORMER 220-110V 2000VA SP
99%,AUTO TRANSFORMER 220-110V 500VA SP,AUTO TRANSFORMER 220-110V 1500VA SP
99%,DOOR INTERCOME AUDIO SINGLE  - COMMAX,DOOR INTERCOME AUDIO SINGLE - COMAX
99%,CORD END TERMINALS (BOOT LUG) 0.75MM,CORD END TERMINALS (BOOT LUG) 0.5MM
99%,CORD END TERMINALS (BOOT LUG) 1.0MM,CORD END TERMINALS (BOOT LUG) 10.0MM
99%,CORD END TERMINALS (BOOT LUG) 1.0MM,CORD END TERMINALS (BOOT LUG) 16.0MM
98%,RCCB 2P 63A 30MA 240V-GACIA/GAYA,RCCB 2P 63A 300MA 240V - GACIA/GAYA
98%,CABLE FLEXIBLE 2CX0.5MM OVAL WH,CABLE FLEXIBLE 2CX0.75MM OVAL WH
98%,E SAVING LAMP 18W E27 WW - PHILIPS,E SAVING LAMP 8W E27 WW - PHILIPS
98%,BATTERY RECHARGABLE AA - DURACELL,BATTERY RECHARGABLE AAA - DURACELL
98%,"LED PANEL RD 6"" 15W FLUSH WH - MX","LED PANEL RD 6"" 15W FLUSH WH - MAX"
98%,LED FLOOD LIGHT 150W WW - PRESTON,LED FLOOD LIGHT 50W WW- PRESTON
98%,LED FLOOD LIGHT 150W WH - PRESTON,LED FLOOD LIGHT 50W WH - PRESTON
98%,CABLE SINGLE CORE 120.0MM LOOSE,CABLE SINGLE CORE 10.0MM LOOSE
98%,CABLE FLEXIBLE SINGLE CORE 6MM,CABLE FLEXIBLE SINGLE CORE 16MM
98%,CABLE PVC SW ARMOURED 4CX120MM,CABLE PVC SW ARMOURED 4CX10MM
98%,CABLE PVC SW ARMOURED 4CX50MM,CABLE PVC SW ARMOURED 4CX150MM
98%,CABLE PVC SW ARMOURED 4CX150MM,CABLE PVC SW ARMOURED 4CX10MM
98%,CABLE PVC SW ARMOURED 4CX25MM,CABLE PVC SW ARMOURED 4CX2.5MM
98%,CABLE SINGLE CORE 6.0MM LOOSE,CABLE SINGLE CORE 16.0MM LOOSE
98%,GI CABLE TRAY 450x50MM - 2.44MTR,GI CABLE TRAY 50X50MM - 2.44MTR
98%,GI CABLE TRAY 50X50MM - 2.44MTR,GI CABLE TRAY 150x50MM - 2.44MTR
98%,"LED PANEL RD 10"" 30W FLUSH - MAX","LED PANEL RD 10"" 30W FLUSH - MX"
98%,CABLE FLEXIBLE 3CX1.0MM LOOSE,CABLE FLEXIBLE 3CX10MM LOOSE
98%,CABLE FLEXIBLE 4CX1.0MM LOOSE,CABLE FLEXIBLE 4CX10MM LOOSE
98%,CABLE PVC SW ARMOURED 3CX16MM,CABLE PVC SW ARMOURED 3CX6MM
98%,CABLE SINGLE CORE 25MM LOOSE,CABLE SINGLE CORE 2.5MM LOOSE
98%,RCCB 2P 40A 30MA 240V-HAGER,RCCB 2P 40A 300MA 240V-HAGER
98%,RCCB 2P 63A 300MA 240V - HAGER,RCCB 2P 63A 30MA 240V-HAGER
98%,HEAT SHRINKABLE SLEEVE 25MM,HEAT SHRINKABLE SLEEVE 2.5MM
98%,RCBO 1P+N 32A 300MA 240V - ABB,RCBO 1P+N 32A 30MA 240V - ABB
98%,CARTRIDGE FUSE 8.5X31.5 - 2A,CARTRIDGE FUSE 8.5X31.5 - 12A
98%,CARTRIDGE FUSE 8.5X31.5 - 6A,CARTRIDGE FUSE 8.5X31.5 - 16A
98%,CARTRIDGE FUSE 8.5X31.5 - 10A,CARTRIDGE FUSE 8.5X31.5 - 1A
98%,CARTRIDGE FUSE 8.5X31.5 - 16A,CARTRIDGE FUSE 8.5X31.5 - 1A
98%,CARTRIDGE FUSE 8.5X31.5 - 12A,CARTRIDGE FUSE 8.5X31.5 - 1A
98%,RCCB 4P 63A 300MA - SCHNEIDER,RCCB 4P 63A 30MA - SCHNEIDER
98%,HEAT SHRINKABLE SLEEVE 6MM,HEAT SHRINKABLE SLEEVE 16MM
98%,HEAT SHRINKABLE SLEEVE 5MM,HEAT SHRINKABLE SLEEVE 25MM
98%,HEAT SHRINKABLE SLEEVE 5MM,HEAT SHRINKABLE SLEEVE 50MM
98%,CABLE TWE FLAT 2.5MM GREY,CABLE TWOE FLAT 2.5MM GREY
98%,FACE PLATE 2PORT WITH 2G GRID MOUNTING FRAME - MK WHI,FACE PLATE 3PORT WITH 2G GRID MOUNTING FRAME - MK WHI
98%,HALOGEN FITTING 240V 1500W,HALOGEN FITTING 240V 500W
98%,INDUSTRIAL BELL 24V 150MM,INDUSTRIAL BELL 240V 150MM
98%,CABLE JOINT FERRULE 120MM,CABLE JOINT FERRULE 10MM
98%,CABLE JOINT FERRULE 150MM,CABLE JOINT FERRULE 10MM
98%,CABLE JOINT FERRULE 150MM,CABLE JOINT FERRULE 50MM
98%,CABLE JOINT FERRULE 25MM,CABLE JOINT FERRULE 2.5MM
98%,PVC EASY CONNECTOR 12POLE,PVC EASY CONNECTOR 2POLE
98%,HALOGEN LAMP HOLDER 1500W,HALOGEN LAMP HOLDER 500W
98%,PATCH CORD CAT6 UTP 5MTR,PATCH CORD CAT6 UTP 15MTR
98%,RCCB 2P 63A 300MA 240V- GE,RCCB 2P 63A 30MA 240V- GE
98%,RCCB 4P 63A 30MA - LEGRAND,RCCB 4P 63A 300MA-LEGRAND
98%,RCCB 2P 63A 30MA 240V-LS,RCCB 2P 63A 300MA 240V- LS
98%,PVC AUTOMOBILE ELECTRICAL CABLE 1.5MM WH- FINOLEX,PVC AUTOMOBILE ELECTRICAL CABLE 2.5MM WH- FINOLEX
98%,LED DRIVE 12V 60W - V.MAX,LED DRIVE 12V 360W - V.MAX
98%,"LED SURFACE LIGHT RD ADJ. 8"" 22W SLIM WW - BAISHENG","LED SURFACE LIGHT RD ADJ. 8"" 22W SLIM WH - BAISHENG"
98%,CABLE SINGLE CORE 1.0MM,CABLE SINGLE CORE 16.0MM
98%,CABLE SINGLE CORE 1.0MM,CABLE SINGLE CORE 10.0MM
98%,PVC CONNECTOR STRIP 100A,PVC CONNECTOR STRIP 10A
98%,DIMMER SWITCH METALIC 500W 1G GOLDEN BRB - HAILAR,DIMMER SWITCH METALIC 500W 2G GOLDEN BRB - HAILAR
98%,CARTRIDGE FUSE 10X38 16A,CARTRIDGE FUSE 10X38 6A
98%,RCCB 4P 100A 30MA - HAGER,RCCB 4P 100A 300MA - HAGER
98%,RCCB 4P 100A 300MA - XETEX,RCCB 4P 100A 30MA - XETEX
98%,SWITCH 20A 2G 1W WHITE WITH BLUE LED - SCHNEIDER,SWITCH 20A 1G 1W WHITE WITH BLUE LED - SCHNEIDER
98%,LED DRIVE 12V 360W - MODI,LED DRIVE 12V 60W - MODI
98%,CABLE FLEXIBLE 5CX10MM,CABLE FLEXIBLE 5CX1.0MM
98%,PVC CONNECTOR STRIP 6A,PVC CONNECTOR STRIP 60A
98%,SW SOCKET 15A - MALLIA WH,SW SOCKET 5A - MALLIA WH
98%,CONTROL CABLE  SHIELDED FLEXIBLE 2CX1MM - SEECAB,CONTROL CABLE  SHIELDED FLEXIBLE 7CX1MM - SEECAB
98%,TELEPHONE CABLE  6 CORE,TELEPHONE CABLE  16 CORE
98%,RCCB 4P 63A 300MA - HAGER,RCCB 4P 63A 30MA - HAGER
98%,"COPPER MALE SOCKET 11/2""","COPPER MALE SOCKET 1/2"""
98%,FIX BOLT (RAWL BOLT) 16MM,FIX BOLT (RAWL BOLT) 6MM
98%,COMBINATION SPANNER M18,COMBINATION SPANNER M8
98%,LED STRIP REMOTE CONTROL RGB 18MM 1000W - MODI,LED STRIP REMOTE CONTROL RGB 10MM 1000W - MODI
98%,LED STRIP REMOTE CONTROL RGB 18MM 1000W - MODI,LED STRIP REMOTE CONTROL RGB 12MM 1000W - MODI
98%,LED STRIP REMOTE CONTROL RGB 10MM 1000W - MODI,LED STRIP REMOTE CONTROL RGB 12MM 1000W - MODI
98%,ULTIMATE FLOOR SKT 13A 2G UNSW WSS - schneider,ULTIMATE FLOOR SKT 13A 1G UNSW WSS - schneider
98%,SMD PANEL IN 400A MCCB TPN OUT 125ATPN MCCB,SMD PANEL IN 400A MCCB TPN OUT 6X125ATPN MCCB
98%,CHANGE OVER SWITCH  25A 2P 415V W/O ENCLOSURE,CHANGE OVER SWITCH  32A 2P 415V W/O ENCLOSURE
98%,"LED SPOT LIGHT FITTING 3"" 7W CW  (5YRS)- HYUNDAI","LED SPOT LIGHT FITTING 3"" 7W WW  (5YRS)- HYUNDAI"
98%,LED DIMMER 1G 100W  UNNIVERSAL -MK ESSENTIALS,LED DIMMER 1G 600W  UNNIVERSAL -MK ESSENTIALS
98%,ELECTRONIC TRANSFORMER 220-12V 105W - PHILIPS,ELECTRONIC TRANSFORMER 220-12V 150W - PHILIPS
98%,IND WALL SOCKET 380/415V 16A 3P+E - PCE IP67,IND WALL SOCKET 380/415V 16A 3P+N+E - (PCE) IP67
98%,RCCB 4P 100A 30MA - ABB,RCCB 4P 100A 300MA - ABB
98%,AUTOMATIC VOLTAGE REGULATOR 220-110V-1500VA,AUTOMATIC VOLTAGE REGULATOR 220-110V-1000VA
98%,AUTOMATIC VOLTAGE REGULATOR 220-110V-1000VA,AUTOMATIC VOLTAGE REGULATOR 220-110V-2000VA
98%,LED DICHROIC LAMP 5W GU10 CW  NON DIM  - OSRAM,LED DICHROIC LAMP 5W GU10 WW NON  DIM - OSRAM
98%,LED DICHROIC LAMP 7W GU10 WW NON  DIM - OSRAM,LED DICHROIC LAMP 5W GU10 WW NON  DIM - OSRAM
98%,SW SOCKET METALIC 13A 2G SILVER BRC - HAILAR,SW SOCKET METALIC 13A 1G SILVER BRC - HAILAR
98%,SW SOCKET 13A 2G + USB + TYPE 'C' CHARGER -REXANS,SW SOCKET 13A 1G + USB + TYPE 'C' CHARGER -REXANS
98%,SWITCH METALIC 10A 3G 2W SILVER BRC - HAILAR,SWITCH METALIC 10A 2G 2W SILVER BRC - HAILAR
98%,SWITCH METALIC 10A 3G 2W SILVER BRC - HAILAR,SWITCH METALIC 10A 1G 2W SILVER BRC- HAILAR
98%,SWITCH METALIC 10A 1G 2W GOLDEN BRB - HAILAR,SWITCH METALIC 10A 3G 2W GOLDEN BRB - HAILAR
98%,SWITCH METALIC 10A 1G 2W GOLDEN BRB - HAILAR,SWITCH METALIC 10A 2G 2W GOLDEN BRB - HAILAR
98%,SWITCH METALIC 10A 3G 2W GOLDEN BRB - HAILAR,SWITCH METALIC 10A 2G 2W GOLDEN BRB - HAILAR
98%,SWITCH METALIC 10A 2G 2W SILVER BRC - HAILAR,SWITCH METALIC 10A 1G 2W SILVER BRC- HAILAR
98%,SWITCH METALIC 10A 1G 2W GOLD / BSS- RR/VIVAN,SWITCH METALIC 10A 2G 2W  GOLD / BSS- RR/VIVAN
98%,SWITCH METALIC 10A 1G 2W GOLD / BSS- RR/VIVAN,SWITCH METALIC 10A 3G 2W  GOLD / BSS- RR/VIVAN
98%,SWITCH METALIC 10A 1G 2W GOLD / BSS- RR/VIVAN,SWITCH METALIC 10A 1G 1W  GOLD / BSS- RR/VIVAN
98%,SWITCH METALIC 10A 2G 2W  GOLD / BSS- RR/VIVAN,SWITCH METALIC 10A 3G 2W  GOLD / BSS- RR/VIVAN
98%,SWITCH METALIC 10A 2G 2W  GOLD / BSS- RR/VIVAN,SWITCH METALIC 10A 2G 1W  GOLD / BSS- RR/VIVAN
98%,SWITCH METALIC 10A 3G 2W  GOLD / BSS- RR/VIVAN,SWITCH METALIC 10A 3G 1W  GOLD / BSS- RR/VIVAN
98%,SWITCH METALIC 10A 1G 1W  GOLD / BSS- RR/VIVAN,SWITCH METALIC 10A 2G 1W  GOLD / BSS- RR/VIVAN
98%,SWITCH METALIC 10A 1G 1W  GOLD / BSS- RR/VIVAN,SWITCH METALIC 10A 3G 1W  GOLD / BSS- RR/VIVAN
98%,SWITCH METALIC 10A 2G 1W  GOLD / BSS- RR/VIVAN,SWITCH METALIC 10A 3G 1W  GOLD / BSS- RR/VIVAN
98%,TIMER SWITCH 16A 240V DIGITAL - HAGER-EG103B,TIMER SWITCH 16A 240V DIGITAL - HAGER-EGN103
98%,LED NIGHT LAMP 2PIN PLUG WITH SENSOR- 1503,LED NIGHT LAMP 2PIN PLUG WITH SENSOR- 1502
98%,FAN CAPACITOR 2.25MFD,FAN CAPACITOR 2.5MFD
98%,GLS LAMP 40W 240V B22,GLS LAMP 40W 24V B22
98%,GLS LAMP 5W 240V B22,GLS LAMP 25W 240V B22
98%,GLS LAMP 60W 24V B22,GLS LAMP 60W 240V B22
98%,GLS LAMP 60W 24V E27,GLS LAMP 60W 240V E27
98%,IND MALE PLUG 380/415V 16A 3P+N+E - (PCE) IP67,IND MALE PLUG 380/415V 16A 3P+E - PCE IP67
98%,IND MALE PLUG 380/415V 32A  3P+E - (PCE) IP67,IND MALE PLUG 380/415V 32A 3P+N+E - (PCE) IP67
98%,NAIL CLIP FLAT 6.0MM,NAIL CLIP FLAT 16.0MM
98%,PRE INS. TERMINAL 1.5MM FEMALE F/INSULATED,PRE INS. TERMINAL 2.5MM FEMALE F/INSULATED
98%,RCCB 4P 100A 300MA - LS,RCCB 4P 100A 30MA - LS
98%,VIKING TERMINAL 10MM,VIKING TERMINAL 120MM
98%,VIKING TERMINAL 2.5MM,VIKING TERMINAL 25MM
98%,CRIMPING TOOL HS-301J,CRIMPING TOOL HS-30J
98%,LED DICHROIC LAMP 7W GU5.3 MR16 CW - V MAX,LED DICHROIC LAMP 7W GU5.3 MR16 WW-V MAX
98%,PVC BLANK PLATE PVC 3X6 - SCHNEIDER/VIVACE,PVC BLANK PLATE PVC 3X3 - SCHNEIDER/VIVACE
98%,SW SOCKET 13A 2G PVC MAT BLACK - SCHNEIDER,SW SOCKET 13A 1G PVC MAT BLACK - SCHNEIDER
98%,IND MALE PLUG 380/415V 32A  3P+E - (PCE) IP67,IND MALE PLUG 380/415V 63A 3P+E - (PCE) IP67
98%,IND MALE PLUG 380/415V 63A 3P+E - (PCE) IP67,IND MALE PLUG 380/415V 16A 3P+E - PCE IP67
98%,WP SW SOCKET 13A 1G IP66 - (LISSE)SCHNEIDER,WP SW SOCKET 13A 2G IP66 - (LISSE) SCHNEIDER
98%,DOOR LOCK TRANSFORMER 240-24V 2A - GERMANY,DOOR LOCK TRANSFORMER 240-12V 2A - GERMANY
97%,LED DICHROIC LAMP 6W GU5.3 WW MR16 - MODI,LED DICHROIC LAMP 6W GU5.3 WH MR16 - MODI
97%,LED FITTING W DIFFUCER 4FT 150W WH - ROLA,LED FITTING W DIFFUCER 4FT 120W WH - ROLA
97%,LED PANEL SQ 600X600MM FLUSH 60W WH - ZIA,LED PANEL SQ 600X600MM FLUSH 60W WW - ZIA
97%,PVC SPIRAL WRAPING BAND M10X10MTR- BLACK,PVC SPIRAL WRAPING BAND M12X10MTR- BLACK
97%,PVC SPIRAL WRAPING BAND M10X10MTR- BLACK,PVC SPIRAL WRAPING BAND M15X10MTR- BLACK
97%,PVC SPIRAL WRAPING BAND M10X10MTR- BLACK,PVC SPIRAL WRAPING BAND M19X10MTR- BLACK
97%,PVC SPIRAL WRAPING BAND M12X10MTR- BLACK,PVC SPIRAL WRAPING BAND M15X10MTR- BLACK
97%,PVC SPIRAL WRAPING BAND M12X10MTR- BLACK,PVC SPIRAL WRAPING BAND M19X10MTR- BLACK
97%,PVC SPIRAL WRAPING BAND M12X10MTR- BLACK,PVC SPIRAL WRAPING BAND M24X10MTR- BLACK
97%,PVC SPIRAL WRAPING BAND M15X10MTR- BLACK,PVC SPIRAL WRAPING BAND M19X10MTR- BLACK
97%,PVC COATED WIRE GREEN 3MMX50MTR IRRMIST,PVC COATED WIRE GREEN 3MMX25MTR IRRMIST
97%,SW SOCKET METALIC 13A 1G  BSS-B - RR/VIVAN,SW SOCKET METALIC 13A 2G  BSS-B - RR/VIVAN
97%,BLANK PLATE METALIC 3X3 R/E BRASS - TENBY,BLANK PLATE METALIC 3X6 R/E BRASS - TENBY
97%,ULTIMATE SWICH 16AX 1G 2W BSS -SCHNEIDER,ULTIMATE SWICH 16AX 2G 2W BSS -SCHNEIDER
97%,TELEPHONE CORD 5MTR,TELEPHONE CORD 15MTR
97%,MCB DP 3A - SCHNEIDER,MCB DP 32A - SCHNEIDER
97%,NAIL CLIP ROUND 16MM,NAIL CLIP ROUND 6MM
97%,NAIL CLIP ROUND 25MM,NAIL CLIP ROUND 5MM
97%,RCCB 4P 63A 300MA  - GE,RCCB 4P 63A 30MA  - GE
97%,RCCB 4P 63A 300MA - LS,RCCB 4P 63A 30MA - LS
97%,"SCREW DRIVER COMBINED 2IN ONE - TAPARIA 6""","SCREW DRIVER COMBINED 2IN ONE - TAPARIA 4"""
97%,"SCREW DRIVER COMBINED 2IN ONE - TAPARIA 6""","SCREW DRIVER COMBINED 2IN ONE - TAPARIA 8"""
97%,"SCREW DRIVER COMBINED 2IN ONE - TAPARIA 4""","SCREW DRIVER COMBINED 2IN ONE - TAPARIA 8"""
97%,WP METALCLAD ISOLATOR  63A TPN - SCHNEIDER,WP METALCLAD ISOLATOR  32A TPN - SCHNEIDER
97%,"LED SPOT LIGHT FITTING 3"" 9W  (WH) - PHILIPS","LED SPOT LIGHT FITTING 3"" 9W  (WW) - PHILIPS"
97%,PVC SPIRAL WRAPING BAND M6X10MTR- BLACK,PVC SPIRAL WRAPING BAND M8X10MTR-BLACK
97%,PVC FLEX HOSE ARO/SU 1/2 x 1/2 x  100CM,PVC FLEX HOSE ARO/SU 1/2 x 1/2 x  120CM
97%,SW SOCKET METALIC 13A 1G GOLD - RR (VIVAN),SW SOCKET METALIC 13A 2G GOLD - RR (VIVAN)
97%,SWITCH 10A 1G CHAMPAIGN MAT BLACK-VMAX,SWITCH 10A 2G CHAMPAIGN MAT BLACK-VMAX
97%,IND WALL SOCKET 380/415V 16A 3P+E - PCE,IND WALL SOCKET 380/415V 16A 3P+N+E (PCE)
97%,LED FLOOD LIGHT 30W WW - LEDVANCE/OSRAM,LED FLOOD LIGHT 30W WH - LEDVANCE/OSRAM
97%,LED FLOOD LIGHT 30W WW - LEDVANCE/OSRAM,LED FLOOD LIGHT 50W WW - LEDVANCE/OSRAM
97%,LED FLOOD LIGHT 30W WH - LEDVANCE/OSRAM,LED FLOOD LIGHT 50W WH - LEDVANCE/OSRAM
97%,LED FLOOD LIGHT 50W WW - LEDVANCE/OSRAM,LED FLOOD LIGHT 50W WH - LEDVANCE/OSRAM
97%,"LED PANEL RD 8"" 20W FLUSH-HYUNDAI (2YRS)","LED PANEL RD 8"" 24W FLUSH - HYUNDAI (2YRS)"
97%,LAMP HOLDER PENDENT E27 WH 1 IN 2 OUT,LAMP HOLDER PENDENT E27 WH 1 IN 5 OUT
97%,CABLE FLEXIBLE 3CX2.5MM - 100YDS (TURKEY),CABLE FLEXIBLE 3Cx1.5MM - 100YDS  (TURKEY)
97%,CABLE FLEXIBLE 3CX2.5MM - 100YDS (ADNEXT),CABLE FLEXIBLE 3Cx1.5MM - 100YDS  (ADNEXT)
97%,PVC SPIRAL WRAPING BAND M24X10MTR-WHI,PVC SPIRAL WRAPING BAND M12X10MTR-WHI
97%,PVC SPLIT CONDUIT BLACK 15MM X 100MTR,PVC SPLIT CONDUIT BLACK 13MM X 100MTR
97%,PVC SPLIT CONDUIT BLACK 15MM X 100MTR,PVC SPLIT CONDUIT BLACK 19MM X 100MTR
97%,PVC SPLIT CONDUIT BLACK 15MM X 100MTR,PVC SPLIT CONDUIT BLACK 10MM X 100MTR
97%,PVC SPIRAL WRAPING BAND M12X10MTR-WHI,PVC SPIRAL WRAPING BAND M10X10MTR-WHI
97%,PVC SPIRAL WRAPING BAND M12X10MTR-WHI,PVC SPIRAL WRAPING BAND M15X10MTR-WHI
97%,PVC SPIRAL WRAPING BAND M12X10MTR-WHI,PVC SPIRAL WRAPING BAND M19X10MTR-WHI
97%,PVC SPIRAL WRAPING BAND M10X10MTR-WHI,PVC SPIRAL WRAPING BAND M15X10MTR-WHI
97%,PVC SPIRAL WRAPING BAND M10X10MTR-WHI,PVC SPIRAL WRAPING BAND M19X10MTR-WHI
97%,PVC SPLIT CONDUIT BLACK 13MM X 100MTR,PVC SPLIT CONDUIT BLACK 19MM X 100MTR
97%,PVC SPLIT CONDUIT BLACK 13MM X 100MTR,PVC SPLIT CONDUIT BLACK 10MM X 100MTR
97%,PVC SPLIT CONDUIT BLACK 19MM X 100MTR,PVC SPLIT CONDUIT BLACK 10MM X 100MTR
97%,PVC ADAPTABLE BOX WP 250X150X100 -VOLT,PVC ADAPTABLE BOX WP 200X150X100 - VOLT
97%,PVC SPIRAL WRAPING BAND M15X10MTR-WHI,PVC SPIRAL WRAPING BAND M19X10MTR-WHI
97%,E SAVING LAMP 15W E27 TORNADO - PHILIPS,E SAVING LAMP 12W E27 TORNADO - PHILIPS
97%,E SAVING LAMP 15W E27 TORNADO - PHILIPS,E SAVING LAMP 18W E27 TORNADO - PHILIPS
97%,E SAVING LAMP 12W E27 TORNADO - PHILIPS,E SAVING LAMP 18W E27 TORNADO - PHILIPS
97%,E SAVING LAMP 12W E27 TORNADO - PHILIPS,E SAVING LAMP 20W E27 TORNADO - PHILIPS
97%,EXT SOCKET 13A 5W/3MTR - INDIGO / DIGNITY,EXT SOCKET 13A 4W/3MTR - INDIGO / DIGNITY
97%,GLASS FUSE 5X20 10A,GLASS FUSE 5X20 1A
97%,GLASS FUSE 6X30 10A,GLASS FUSE 6X30 1A
97%,GLASS FUSE 6X30 15A,GLASS FUSE 6X30 1A
97%,GLASS FUSE 6X30 15A,GLASS FUSE 6X30 5A
97%,GLASS FUSE 6X30 20A,GLASS FUSE 6X30 2A
97%,GLASS FUSE 6X30 3A,GLASS FUSE 6X30 30A
97%,METAL DUCT EX FAN 100MM IN LINE - NOVEX,METAL DUCT EX FAN 150MM IN LINE - NOVEX
97%,NUT AND  WASHER 16MM,NUT AND  WASHER 6MM
97%,MAGNETIC CONTACTOR 240V 18A - SCHNEIDER,MAGNETIC CONTACTOR 240V 12A - SCHNEIDER
97%,MAGNETIC CONTACTOR 240V 12A - SCHNEIDER,MAGNETIC CONTACTOR 240V 25A - SCHNEIDER
