sku,name,stock,price,notes
MSM4016,MECHINE SCREWS M4X16MM,8000.000,0.007,
VBD2,PRE INS. BUD TERMINAL 2.5MM FEMALE,3600.000,0.025,
RBWNM12,ROOFING BOLT & NUT M6X12MM /16,1950.000,0.017,
RBWNM20,ROOFING BOLT & NUT M6X20MM,1601.000,0.025,
VX1307,PLUG TOP 13A 3PIN - VOLEX 1307,1540.000,0.700,
BWS10040,BRASS WOOD SCREWS 10X40,1500.000,0.032,
BWS08032,BRASS WOOD SCREWS 8X32,1500.000,0.025,
GS0803,"GYPSOM SCREWS 8 X 3""",1145.000,0.010,
STS6012,SELF TAPING SCREWS 6X12MM,1020.000,0.010,
STS1025,"SELF TAPING SCREWS 10X25MM (1"")",1000.000,0.060,
DWGS,"DRY WALL GYPSOM 6X1"" P",1000.000,0.005,
STS0658,SELF TAPING SCREWS 6 X16MM,1000.000,0.005,
LEPRF08-2,"LED PANEL RD 8"" 20W/24W WH FLUSH-BESTAR / PRO",870.000,1.500,
STS8020,SELF TAPING SCREWS 8X20MM,850.000,0.008,
WNCE1,WIRE NUT CONNECTOR 1.0MM GREY -  E1,800.000,0.018,
PVCST1616-3,PVC ST TRUNKING 16X16MM-DIGNITY,728.000,0.600,
PVCST2516-3,PVC ST TRUNKING 25X16MM-DIGNITY,702.000,0.800,
VD2-COMP,COMPRESSOR TERMINAL 2.5MM ANGLE  FEMALE,700.000,0.050,
PBS033PE-2,PVC BOX SURFACE 3X3 PE - DIGNITY,620.000,0.200,
WNCE4,WIRE NUT CONNECTOR 2.5MM ORANGE/D  - E4,600.000,0.050,
CET250,CORD END TERMINALS (BOOT LUG) 25MM (BLACK),600.000,0.050,
ESL18ES-2,E SAVING LAMP 18W E27 -V MAX,528.000,0.600,
CLT0025,CABLE JOINT FERRULE 2.5MM,525.000,0.040,
RIVET,RIVET PIN 4.8X16,510.000,0.010,
NW06,NUT AND  WASHER 6MM,500.000,0.075,
LEDCL12,PVC CLIP FOR LED STRIP 5050 12MM,500.000,0.050,
MSM3516,MECHINE SCREWS M3.5X16MM,500.000,0.008,
LEDBF240-1,LED BATTEN FITTING 2X4FT - BENNA,450.000,0.800,
STHS114,"SELF TAPING  HEX SCREWS  1""",450.000,0.035,
CFL4025R,RUBBER FLEXIBLE CABLE 4Cx2.5MM,415.000,1.500,
CS112,"CHANNEL SCREW 11/2""",412.000,0.025,
LESF307,"LED SPOT LIGHT FITTING 3"" 7W - HIMAX",404.000,0.700,
GF63300,GLASS FUSE 6X30 30A,400.000,0.100,
LEDCL18,PVC CLIP FOR LED STRIP 5050 18MM,400.000,0.060,
STHS32,"SELF TAPING  HEX SCREWS  1 1/4""",400.000,0.020,
LEDB1202,LED BULB 12W E27 DL - MX,400.000,0.800,
ESLP12EST,E SAVING LAMP 12W E27 TORNADO - PHILIPS,367.000,1.500,
NCR040,NAIL CLIP ROUND 4MM,365.000,0.350,
R6UMDG,BATTERY 1.5V AA -GP,354.000,0.200,
LDLGU105-4,LED DICHROIC LAMP 6/7W GU10 WW DIM - V MAX/BESTAR,350.000,1.200,
NCR040K,NAIL CLIP ROUND 4MM - KHIND KH36046C,330.000,0.500,
LEPCL,LED PANEL CLIPS,328.000,0.500,
PNB20-1,PVC BEND 20MM BLK - PRECISION,325.000,0.150,
DSB2,PVC S/B SADDLE 20MM - DD,320.000,0.050,
VD2-M,PRE INS. TERMINAL 2.5MM FEMALE/MALE,300.000,0.030,
DIA06M,DROP IN ANCHOR  6MM,300.000,0.025,
NCR050,NAIL CLIP ROUND 5MM,300.000,0.400,
LEDES12-1,LED E SAVING LAMP 12W 3U E27-MODI/MFZ/XG,297.000,1.000,
PT313-3,PLUG TOP 13A 3PIN BLACK - HB/POKA,293.000,0.500,
FRD500-6,FAN REGULATOR DIMMER 500W-MICRA,282.000,1.500,
CF1400-3,"CEILING FAN 56"" (1400MM)  - PRESTON BRIZ AIR",278.000,8.500,
LEDT215-1,LED TUBE 2FT 15W - MODI,276.000,0.700,
PVSBK25,PVC S/B SADDLE 25MM BLK DD,275.000,0.100,
LEDB1201,LED BULB 12W B22 WW - MX,255.000,1.000,
GLS060ES-1,GLS LAMP 60W 240V E27 - PHILIPS,240.000,0.300,
MSM825,BOLT AND NUT M8X40,232.000,0.100,
MD5050-2,LED STRIP 3 LINE 5050 50M RGB-MODI,211.000,0.800,
CGI3/4,"GI CLIP LD 1/2  - 3/4""",211.000,0.300,
VBM1,PRE INS. BUD TERMINAL 1.5MM MALE,200.000,0.025,
MSM3040,MECHINE SCREWS M3X40MM,200.000,0.015,
