code,name,tel,email
S0131,3TECH PRINTING & COMPUTERS,,
S0056,ABDALI ESSA AL NOOH & SONS CO. W.L.L,,
S0038,ABDUL NABI COMMERCIAL CENTER W.L.L,,
S0178,ABDUL RASOOL AHMAD ABDULLA OFFICE PRINTING SERVICES,,
S0024,ABDULSAMAD DABWAN & HIS PARTNER,,
S0012,ABU SAMAR ELECTRICAL TOOLS,,
S0090,ABURADWAN BUILDING MATERIALS TRADING CONTRACTING EST,,
S0057,ADNEXT LIGHTING CO. W.L.L,,
S0173,AFTER GLOW TRADING W.L.L,,
S0053,AL ABDULI TRADING CO. W.L.L,,
S0136,AL AQEEQ TRADING,,
S0152,AL BANOOSH ELECTRICAL EQUIPMENTS,,
S0035,AL BARAKA PLASTIC PRODUCTS,,
S0085,AL FARAZDAQ TRADING,,
S0104,AL FAYASIL BUILDING MATERIALS W.L.L,,
S0031,AL HAMRA BUILDING MATERIALS CO. W.L.L,,
S0071,AL JAZZAF BUILDING MATERIALS & MAINTANANCE,,
S0144,AL JEHAD AUTO SPARE PARTS W.L.L,,
S0068,AL KARRAR TRADING ESTABLISHMENT-PARTNERSHIP,,
S0184,AL MANARA ELECTRICAL BAHRAIN W.L.L,,
S0032,AL MARWA GENERAL TRADING CO.,,
S0098,AL MASHREQ INTERNATIONAL W.L.L,,
S0118,AL MOOSAWI TRADING & ELECTRICAL CONTRACTING W.L.L,,
S0002,AL MOSAWI TRADING & ELECTRICAL CONTRACTING.,,
S0117,AL MOUSSAWI INTERNATIONAL FOR ELECTRICAL CONTRACTING B.S.C CLOSED,,
S0023,AL NOAIMI ELECTRICAL CONT. & TRADING,,
S0154,AL NOOR PALACE,,
S0066,AL RAHMA K.K AUTO PARTS,,
S0063,AL RAJIH ELECTRICAL EQUIPMENTS EST.,,
S0101,AL RASMIYA TRADING,,
S0050,AL TANAF ELECTRICAL ITEMS & LIGHTING CO.W.L.L,,
S0055,AL TAWKEEL BUILDING MATERIALS,,
S0021,AL THAWADI GATE ELELCTRICAL & ELECTRONICS,,
S0102,ALDAR EQUIPMENT HIRING CO.W.L.L,,
S0140,AMEERI INDUSTRIES W.L.L,,
S0105,AROMAX FIRE & SAFETY SYSTEMS W.L.L,,
S0138,ASMA MECHANICAL & SPARE PARTS SUPPLIES,,
S0075,ATLAS ELECTRICALS SUPPLIES W.L.L,,
S0162,AWAL ELECTRIC,,
