similarity_pct,supplier_a,supplier_b
95%,AL BAHAR ELECTRICAL CONTRACTING EST.,AL MAHAR ELECTRICAL
92%,VENUS ELECTRICAL EQUIPMENT W.L.L,TEN ELETRICAL EQUIPMENT CO. W.L.L
89%,ALFA LIGHTING CO. W.L.L,ROLA LIGHTING W.L.L
88%,SUN ELECTRICAL EQUIPMENTS,ZUMAS ELECTRICAL EQUIPMENTS
88%,AL HAMRA BUILDING MATERIALS CO. W.L.L,AL FAYASIL BUILDING MATERIALS W.L.L
88%,AL HAMRA BUILDING MATERIALS CO. W.L.L,VALCOA BUILDING MATERIALS W.L.L
87%,AL RAJIH ELECTRICAL EQUIPMENTS EST.,AL BANOOSH ELECTRICAL EQUIPMENTS
86%,AL TAWKEEL BUILDING MATERIALS,AL NASEEHA BUILDING MATERIALS
86%,AL QAYAM ELECTRICAL EQUIPMENTS W.L.L,KAHZAD ELECTRICAL EQUIPMENTS W.L.L
86%,POWER LINE ELECTRICAL & ELECTRONICS,CITRINE ELECTRICAL & ELECTRONICS
86%,STAR WORLD ELECTRONICS CO. W.L.L,STAR LIGHT ELECTRONICS W.L.L
85%,AL MOSAWI TRADING & ELECTRICAL CONTRACTING.,AL MOOSAWI TRADING & ELECTRICAL CONTRACTING W.L.L
